"X.NCT00052910.","X.OS.","X.0.731124982266988."
"NCT00052910","OS","0.731124982266988"
"NCT00052910","PFS","0.31835721378919"
"NCT00113763","OS","0.254548729958566"
"NCT00113763","PFS","0.729688344442443"
"NCT00113763","RSP","0.151804479673332"
"NCT00460265","PFS","0.706489456489456"
"NCT00364013","RSP","0.418983374842617"
"NCT00115765","PFS","0.749382975985776"
"NCT00115765","TF","0.266010457241113"
"NCT00115765","ORR","0.49346714858874"
"NCT00339183","OS","0.575869890668239"
"NCT00339183","PFS","0.260581590527605"
"NCT00339183","ORR","0.427342013337567"
