"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",6,179.887610098091,1000,10,0.01,0.5,4
"2",37,8.09763084191033e-06,100,4,5e-06,0.2,4
"3",1,0.000402228163152448,100,4,5e-05,0.2,4
"4",168,0.0902137650926343,1000,4,1e-04,0.1,4
"5",2,8.38105353113918e-06,100,5,5e-06,0.1,3
"6",7,0.00250932268470247,200,4,5e-05,0.5,2
"7",22,37.2412002395443,200,10,0.01,0.5,4
"8",23,4.27514007983123e-05,200,5,5e-06,0.5,4
"9",1,21.2705212158343,500,4,0.005,0.1,3
"10",7,0.239858480641573,500,10,1e-04,0.5,4
