"trial_list","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread"
"NCT00364013",274,1.70420753293021,10000,4,5e-05,0.5
"NCT00339183",178,3.05581021582864e-05,500,4,5e-06,0.5
"NCT00115765",71,0.197737454850211,1000,10,1e-04,0.3
"NCT00113763",393,0.000143231202987694,1000,10,5e-06,0.1
"NCT00079274",16,0.0604349255624392,500,10,1e-04,0.5
"NCT00460265",96,0.00656764460618866,200,5,1e-04,0.3
"NCT00041119_length",189,0.000146204755973402,500,5,5e-06,0.1
"NCT00041119_chemo",237,0.00014395086465429,500,5,5e-06,0.1
"NCT00003299",11,1.23453509313702e-05,200,10,5e-06,0.3
"NCT00119613",25,1582.89470021644,200,4,0.005,0.2
