"Covariate","DF","LogLik","diff","statistic","p-value"
"full model",33,-3700.00528800349,NA,NA,NA
"PRSURG",32,-3700.25766534495,-1,0.504754682915518,0.477418372656991
"LIVERMET",32,-3700.02774916947,-1,0.044922331957423,0.832146908260177
"DIAGMONS",32,-3700.14838621779,-1,0.286196428587573,0.592668322269958
"AGE",32,-3700.24009259386,-1,0.469609180730913,0.493167018630798
"SEX",32,-3700.0377058276,-1,0.0648356482206509,0.79901008234995
"B_WEIGHT",32,-3700.21298670696,-1,0.415397406924967,0.519242629399736
"B_HEIGHT",32,-3700.71632475042,-1,1.42207349386081,0.233062417479646
"RACE",32,-3700.07818744093,-1,0.145798874871616,0.702582874337513
"B_ECOG",32,-3711.20799234185,-1,22.4054086767173,2.20751474727392e-06
"HISSUBTY",32,-3700.16989282487,-1,0.329209642746719,0.566124850072582
"B_METANM",32,-3700.22170666902,-1,0.432837331046358,0.510599987312112
"DIAGTYPE",32,-3701.49990773633,-1,2.98923946567811,0.083819526522857
"Albumin",32,-3701.26669204709,-1,2.52280808718751,0.112210606029105
"Alkaline_Phosphatase",32,-3700.45521582218,-1,0.899855637368091,0.342820423020193
"Creatinine",32,-3700.42454477859,-1,0.838513550192147,0.359822242512459
"Hemoglobin",32,-3700.14855386888,-1,0.28653173076691,0.59245169954014
"Lactate_Dehydrogenase",32,-3700.40835315002,-1,0.806130293041861,0.369266809636734
"Platelets",32,-3701.51615757538,-1,3.02173914377909,0.0821553194379762
"White_Blood_Cells",32,-3700.0352735394,-1,0.0599710718042843,0.806541668533018
"KRAS_exon_2_(c12/13)",32,-3703.85273372881,-1,7.69489145063926,0.00553773402604829
"KRAS_exon_3_(c61)",32,-3700.0804841842,-1,0.150392361411832,0.698160685365117
"KRAS_exon_4_(c117/146)",32,-3700.05203467259,-1,0.0934933382004601,0.75978220553549
"NRAS_exon_2_(c12/13)",32,-3707.64812726451,-1,15.2856785220274,9.24145138964987e-05
"NRAS_exon_3_(c61)",32,-3700.18441385644,-1,0.35825170588214,0.54947880008564
"BRAF_exon_15_(c600)",32,-3700.12921603891,-1,0.247856070824128,0.61858874588153
"KRAS_exon_3_(c59/c61)",32,-3700.00662020352,-1,0.00266440004816104,0.958833214507248
"NRAS_exon_3_(c59/c61)",32,-3700.00618904141,-1,0.00180207583980518,0.966139281394105
"non_target_count",32,-3702.24647640317,-1,4.48237679934391,0.034246063857987
"target_count",32,-3701.36638507949,-1,2.72219415198924,0.0989618941242578
"target_LSSLD",32,-3700.18457702424,-1,0.358578041488727,0.549297017310273
"target_LSLD",32,-3700.65078837984,-1,1.2910007526898,0.255863606581273
